scenario,scenario_label,controller,rmse_tracking_error_m,settling_time_s,control_effort_mse_rpm2,control_effort_rms_rpm,control_effort_max_dev_rpm,max_transient_deviation_m,final_z_m,min_z_m,max_roll_deg,flipped_steps,rpm_saturation_low,rpm_saturation_high,est_reset_events,crash_flag
1,Nominal,MPC,0.0799228333918576,,60932663.07063963,7805.937680422489,14436.0,0.10578240725641967,0.01348695176077366,0.006717592743580336,179.99990795523487,513,110,196,0,True
1,Nominal,PID,0.0,0.0,1051.651942522032,32.42918350069937,32.42918350070249,0.0,0.1125,0.1125,0.0,0,0,0,0,False
1,Nominal,LQR,0.0,0.0,1051.6519425220315,32.42918350069936,32.42918350070249,0.0,0.1125,0.1125,3.8516994433491034e-15,0,0,0,0,False
2,"Windy, selector OFF",MPC,0.14142098024494038,,41731481.11035441,6459.990798008494,14436.0,0.314777935744595,0.28055979376408446,0.022659338699928033,107.16261273904412,4,19,95,0,True
2,"Windy, selector OFF",PID,0.0009795590881276084,0.0,908053.3948796196,952.9183568803886,1732.5127180248492,0.001338629826330054,0.11334480796101709,0.1125,1.5124416330080497,0,0,0,0,False
2,"Windy, selector OFF",LQR,8.102705211013336e-05,0.0,749.6483996803216,27.379707808527133,43.19993121899279,8.604098742945321e-05,0.11258239456365658,0.11249999999932661,2.796965511769e-12,0,0,0,0,False
3,"Windy, selector ON",MPC,0.11840699950959972,,57019386.90983326,7551.118255585278,14436.0,0.30194757836429914,0.013489307324445057,0.005525123110634515,179.9996015904443,429,10,58,0,True
3,"Windy, selector ON",PID,0.0009795590881276084,0.0,908053.3948796196,952.9183568803886,1732.5127180248492,0.001338629826330054,0.11334480796101709,0.1125,1.5124416330080497,0,0,0,0,False
3,"Windy, selector ON",LQR,8.102705211013336e-05,0.0,749.6483996803216,27.379707808527133,43.19993121899279,8.604098742945321e-05,0.11258239456365658,0.11249999999932661,2.796965511769e-12,0,0,0,0,False
4,Nominal->Windy transition,MPC,0.07992273572316778,,60525789.79555833,7779.832247263326,14436.0,0.09907723459391808,0.01348719105986824,0.006717592743580336,179.9999993494865,513,99,192,0,True
4,Nominal->Windy transition,PID,0.0007188895946689438,0.0,367688.5028862379,606.3732372773702,1732.0195206576718,0.001426013175440416,0.11365327875983429,0.1125,1.6884406629230626,0,0,0,0,False
4,Nominal->Windy transition,LQR,5.622741225411039e-05,0.0,904.346664497533,30.07235714900867,43.19993121899461,8.604098742945321e-05,0.11258239484441206,0.11249999999932661,2.7910562837108035e-12,0,0,0,0,False
5,Payload mid-flight,MPC,0.07992127675340163,,60857214.895240426,7801.103440875555,14436.0,0.09911119536287163,0.013489934276631373,0.006717592743580336,179.9999968369608,513,107,192,0,True
5,Payload mid-flight,PID,0.05001059254280305,,3142055.2313282597,1772.5843368732162,2767.374038390877,0.07522942981732361,0.04009999992158252,0.037270570182676384,0.0,0,0,0,0,False
5,Payload mid-flight,LQR,0.01885372425421417,,3137554.6999528613,1771.3143989571308,2755.975575787532,0.027293750020028415,0.08520624997997159,0.08520624997997159,2.230264296216608e-14,0,0,0,0,False
6,Payload + wind combined,MPC,0.11795097282695727,,48460132.91711271,6961.331260406497,14436.0,0.30194757836429914,0.013489821061322774,0.01234079937963938,179.99996391626308,429,11,373,0,True
6,Payload + wind combined,PID,0.0498874495255389,0.0,3512350.5270471144,1874.1266037936482,3275.5918628641193,0.07527058993666524,0.04034543053300794,0.03722941006333475,1.3504331840232744,0,0,0,0,False
6,Payload + wind combined,LQR,0.018815674446741332,0.0,3129436.593164516,1769.0213659434744,2760.396930916191,0.02723961253975557,0.08526050226965819,0.08526038746024443,2.796965511769e-12,0,0,0,0,False
