scenario,scenario_label,controller,rmse_tracking_error_m,settling_time_s,max_transient_deviation_m,control_effort_rms_rpm,control_effort_ise_rpm2_s,control_effort_max_dev_rpm,final_z_m,min_z_m,max_roll_deg,max_pitch_deg,rpm_saturation_low,rpm_saturation_high,crash_flag,failure_step,failure_time_s,failure_reason,valid_steps,valid_duration_s
1,Nominal,MPC,0.05268004098888079,,0.08055340096829106,5126.251263893968,102923937.08058347,14287.590146888273,0.06331665981926395,0.03194659903170894,179.71230303673326,82.43743129732235,0,4,True,46,0.9583333333333333,flip,47,0.9791666666666666
1,Nominal,PID,0.0,0.0,0.0,1.3625567622659965e-12,1.1139365582380772e-22,3.637978807091713e-12,0.1125,0.1125,0.0,0.0,0,0,False,-1,,none,720,15.0
1,Nominal,LQR,0.0,0.0,0.0,1.0060553605123228e-12,6.072884330493477e-23,3.637978807091713e-12,0.1125,0.1125,3.8516994433491034e-15,5.392379220688744e-15,0,0,False,-1,,none,720,15.0
2,"Windy, selector OFF",MPC,0.0498500033064343,,0.0776029284663583,4186.1002604350015,54030592.453776464,10531.570816499301,0.060744813068992196,0.034897071533641695,92.16904894972409,77.71560365342229,0,1,True,36,0.75,flip,37,0.7708333333333333
2,"Windy, selector OFF",PID,0.0009795590881276084,0.0,0.001338629826330054,953.5694240327905,54557678.78701366,1764.941901525548,0.11334480796101709,0.1125,1.5124416330080497,4.550799686331176,0,0,False,-1,,none,720,15.0
2,"Windy, selector OFF",LQR,8.102705211013336e-05,0.0,8.604098742945321e-05,5.179122260474526,1609.3984433365658,10.778765098521035,0.11258239456365658,0.11249999999932661,2.796965511769e-12,2.76794711348462,0,0,False,-1,,none,720,15.0
3,"Windy, selector ON",MPC,0.0498500033064343,,0.0776029284663583,4186.1002604350015,54030592.453776464,10531.570816499301,0.060744813068992196,0.034897071533641695,92.16904894972409,77.71560365342229,0,1,True,36,0.75,flip,37,0.7708333333333333
3,"Windy, selector ON",PID,0.0009795590881276084,0.0,0.001338629826330054,953.5694240327905,54557678.78701366,1764.941901525548,0.11334480796101709,0.1125,1.5124416330080497,4.550799686331176,0,0,False,-1,,none,720,15.0
3,"Windy, selector ON",LQR,8.102705211013336e-05,0.0,8.604098742945321e-05,5.179122260474526,1609.3984433365658,10.778765098521035,0.11258239456365658,0.11249999999932661,2.796965511769e-12,2.76794711348462,0,0,False,-1,,none,720,15.0
4,Nominal -> Windy,MPC,0.05268004098888079,,,5126.251263893968,102923937.08058347,14287.590146888273,0.06331665981926395,0.03194659903170894,179.71230303673326,82.43743129732235,0,4,True,46,0.9583333333333333,flip,47,0.9791666666666666
4,Nominal -> Windy,PID,0.0007188895946689438,0.0,0.001426013175440416,606.296624040383,22055735.779365934,1764.4487041583707,0.11365327875983429,0.1125,1.6884406629230626,4.550799686331436,0,0,False,-1,,none,720,15.0
4,Nominal -> Windy,LQR,5.622741225411039e-05,0.0,8.604098742945321e-05,3.664209237803944,805.5857603044657,10.778765098519216,0.11258239484441206,0.11249999999932661,2.7910562837108035e-12,2.7679471134846216,0,0,False,-1,,none,720,15.0
5,Payload mid-flight,MPC,0.05268004098888079,,,5126.251263893968,102923937.08058347,14287.590146888273,0.06331665981926395,0.03194659903170894,179.71230303673326,82.43743129732235,0,4,True,46,0.9583333333333333,flip,47,0.9791666666666666
5,Payload mid-flight,PID,0.05001059254280305,,0.07522942981732361,1749.5684208303303,183659379.55000415,2734.9448548901782,0.04009999992158252,0.037270570182676384,0.0,0.0,0,0,False,-1,,none,720,15.0
5,Payload mid-flight,LQR,0.01885372425421417,,0.027293750020028415,1748.2762990896358,183388201.07751322,2723.546392286833,0.08520624997997159,0.08520624997997159,2.230264296216608e-14,8.100662640101614e-13,0,0,False,-1,,none,720,15.0
6,Payload + wind,MPC,0.0498500033064343,,0.0776029284663583,4186.1002604350015,54030592.453776464,10531.570816499301,0.060744813068992196,0.034897071533641695,92.16904894972409,77.71560365342229,0,1,True,36,0.75,flip,37,0.7708333333333333
6,Payload + wind,PID,0.0498874495255389,,0.07527058993666524,1852.6654292709627,205942151.56894565,3243.1626793634205,0.04034543053300794,0.03722941006333475,1.3504331840232744,4.550799686331176,0,0,False,-1,,none,720,15.0
6,Payload + wind,LQR,0.018815674446741332,,0.02723961253975557,1746.0288852242584,182917012.08224797,2727.9677474154923,0.08526050226965819,0.08526038746024443,2.796965511769e-12,2.76794711348462,0,0,False,-1,,none,720,15.0
