scenario,scenario_label,metric,comparison,mpc_value,comparison_value,pct_improvement
1,Nominal,RMSE,PID vs MPC,0.05268004098888079,0.16978144027845415,
1,Nominal,RMSE,LQR vs MPC,0.05268004098888079,0.16881509482126392,
1,Nominal,Settling Time,PID vs MPC,,,
1,Nominal,Settling Time,LQR vs MPC,,,
1,Nominal,Control Effort RMS,PID vs MPC,5126.251263893968,14.775899381662866,
1,Nominal,Control Effort RMS,LQR vs MPC,5126.251263893968,18.52161320241834,
1,Nominal,Maximum Transient Deviation,PID vs MPC,0.08055340096829106,0.19012740699909025,
1,Nominal,Maximum Transient Deviation,LQR vs MPC,0.08055340096829106,0.18749999999999867,
2,"Windy, selector OFF",RMSE,PID vs MPC,0.0498500033064343,0.17074521550854016,
2,"Windy, selector OFF",RMSE,LQR vs MPC,0.0498500033064343,0.168893351151052,
2,"Windy, selector OFF",Settling Time,PID vs MPC,,,
2,"Windy, selector OFF",Settling Time,LQR vs MPC,,,
2,"Windy, selector OFF",Control Effort RMS,PID vs MPC,4186.1002604350015,951.9046063007481,
2,"Windy, selector OFF",Control Effort RMS,LQR vs MPC,4186.1002604350015,19.535012903122063,
2,"Windy, selector OFF",Maximum Transient Deviation,PID vs MPC,0.0776029284663583,0.19134129239157927,
2,"Windy, selector OFF",Maximum Transient Deviation,LQR vs MPC,0.0776029284663583,0.18758239493755308,
3,"Windy, selector ON",RMSE,PID vs MPC,0.0498500033064343,0.17074521550854016,
3,"Windy, selector ON",RMSE,LQR vs MPC,0.0498500033064343,0.168893351151052,
3,"Windy, selector ON",Settling Time,PID vs MPC,,,
3,"Windy, selector ON",Settling Time,LQR vs MPC,,,
3,"Windy, selector ON",Control Effort RMS,PID vs MPC,4186.1002604350015,951.9046063007481,
3,"Windy, selector ON",Control Effort RMS,LQR vs MPC,4186.1002604350015,19.535012903122063,
3,"Windy, selector ON",Maximum Transient Deviation,PID vs MPC,0.0776029284663583,0.19134129239157927,
3,"Windy, selector ON",Maximum Transient Deviation,LQR vs MPC,0.0776029284663583,0.18758239493755308,
4,Nominal -> Windy,RMSE,PID vs MPC,0.05268004098888079,0.17027079758376604,
4,Nominal -> Windy,RMSE,LQR vs MPC,0.05268004098888079,0.1688581294378328,
4,Nominal -> Windy,Settling Time,PID vs MPC,,,
4,Nominal -> Windy,Settling Time,LQR vs MPC,,,
4,Nominal -> Windy,Control Effort RMS,PID vs MPC,5126.251263893968,607.9534945969648,
4,Nominal -> Windy,Control Effort RMS,LQR vs MPC,5126.251263893968,18.880587543123475,
4,Nominal -> Windy,Maximum Transient Deviation,PID vs MPC,,0.19096275147962866,
4,Nominal -> Windy,Maximum Transient Deviation,LQR vs MPC,,0.1875860409865509,
5,Payload mid-flight,RMSE,PID vs MPC,0.05268004098888079,0.1338860442400024,
5,Payload mid-flight,RMSE,LQR vs MPC,0.05268004098888079,0.15458499069523535,
5,Payload mid-flight,Settling Time,PID vs MPC,,,
5,Payload mid-flight,Settling Time,LQR vs MPC,,,
5,Payload mid-flight,Control Effort RMS,PID vs MPC,5126.251263893968,1749.6305535861181,
5,Payload mid-flight,Control Effort RMS,LQR vs MPC,5126.251263893968,1748.374406850191,
5,Payload mid-flight,Maximum Transient Deviation,PID vs MPC,,0.18932221355029666,
5,Payload mid-flight,Maximum Transient Deviation,LQR vs MPC,,0.18681040400975835,
6,Payload + wind,RMSE,PID vs MPC,0.0498500033064343,0.1345454646818766,
6,Payload + wind,RMSE,LQR vs MPC,0.0498500033064343,0.15464911478334412,
6,Payload + wind,Settling Time,PID vs MPC,,,
6,Payload + wind,Settling Time,LQR vs MPC,,,
6,Payload + wind,Control Effort RMS,PID vs MPC,4186.1002604350015,1852.960093175725,
6,Payload + wind,Control Effort RMS,LQR vs MPC,4186.1002604350015,1746.130479860312,
6,Payload + wind,Maximum Transient Deviation,PID vs MPC,0.0776029284663583,0.19134129239157927,
6,Payload + wind,Maximum Transient Deviation,LQR vs MPC,0.0776029284663583,0.1875823903772474,
